CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP
"6347844",2016,20160324,3404,20160312,1411,"0481","","6","5","7","3404","0","0","0","","0","02C","GROVE AV","EL MONTE AV","0.00","","Y","B","C","N","",,,"","",,"","","","N","4",0,2,2,"A","-","12",22450,"","F","D","C","A","B","H","-","A","A","0","","","","","Y","","-","",0,0,2,0,0,0,0,0,0,"-","-"
"6347848",2016,20160324,3404,20160317,1640,"8141","2","4","5","7","3404","0","0","0","","0","00B","ARCADE BL","BELMONT WY","111.00","E","N","A","-","N","",,,"","",,"","","","Y","4",0,1,1,"A","-","03",22350,"","N","E","I","A","A","H","-","A","D","0","","","Y","","Y","","C","02",0,0,1,0,0,0,0,0,1,"-","-"
"6347852",2016,20160324,3404,20160316,1912,"8171","6","3","5","7","3404","0","0","0","","0","00C","POWER INN RD","FRUITRIDGE RD","630.00","N","N","A","-","N","",,,"","",,"","","","Y","4",0,2,2,"A","-","09",21804,"A","N","D","C","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,2,0,0,0,0,0,0,"-","-"
"6347856",2016,20160324,3404,20160316,1853,"0973","4","3","5","7","3404","0","0","0","","0","00B","HOGAN DR","55TH AV","0.00","","Y","A","-","N","",,,"","",,"","","","Y","4",0,1,2,"A","-","09",21800,"B","N","D","C","A","A","H","-","B","D","0","","","","","Y","","A","07",0,0,1,0,0,0,0,0,0,"-","-"
"6347860",2016,20160324,3404,20160309,1759,"397","6","3","5","7","3404","0","0","0","","0","00C","65TH ST","14TH AV","250.00","N","N","A","-","N","",,,"","",,"","","","Y","4",0,2,2,"A","-","03",22350,"","N","C","C","A","-","H","-","C","A","0","","","","","Y","","A","01",0,0,2,0,0,0,0,0,0,"-","-"
"6347864",2016,20160324,3404,20160317,1744,"8169","","4","5","7","3404","0","0","0","","0","","FRANKLIN BL","DOSS WY","0.00","","Y","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","A","0","Y","","","","Y","","A","07",0,0,1,0,1,0,0,0,0,"-","-"
"6347867",2016,20160324,3404,20160315,0750,"977","","2","5","7","3404","0","0","0","","0","05A","MATSON DR","BALFOUR WY","0.00","","Y","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","09",21802,"A","N","D","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"6347871",2016,20160324,3404,20160318,0032,"0943","P4","5","5","7","3404","0","0","0","","0","04A","FREEPORT BL","SUTTERVILLE RD","0.00","","N","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","03",22350,"","N","C","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"6347872",2016,20160324,3404,20160318,0836,"8207","2","5","5","7","3404","0","0","0","","0","00A","HARRIS AV","HARRIS AV SUITE A  310","0.00","","N","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","00",22106,"A","F","C","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"6347875",2016,20160324,3404,20160317,1953,"8141","2","4","5","7","3404","0","0","0","","0","00B","RIO LINDA BL","ARCADE BL","130.00","N","N","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","11",21956,"","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,1,0,1,0,0,0,0,"-","-"
"6347879",2016,20160324,3404,20160316,1928,"8141","2","3","5","7","3404","0","0","0","","0","00B","RIO LINDA BL","LAS PALMAS AV","33.00","N","N","A","-","N","",,,"","",,"","","","Y","4",0,1,2,"A","-","21",22106,"","N","D","C","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"6350632",2016,20160324,3404,20160229,1910,"0271","4","1","5","7","3404","0","0","0","","0","00C","GLORIA DR","GLORIA DR 6308","0.00","","N","A","-","N","",,,"","",,"","","","N","4",0,2,2,"A","-","01",23152,"A","N","B","C","A","A","H","-","C","D","0","","","","","Y","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-"
"6784010",2016,20160418,3404,20160408,1628,"712","2","5","5","7","3404","0","0","0","","0","02A","SOUTH AV","DRY CREEK RD","4.00","S","N","A","-","N","",,,"","",,"","","","Y","4",0,1,1,"D","-","00",,"","N","-","I","A","A","H","-","A","A","0","","","","","Y","","-","- ",0,0,1,0,0,0,0,0,0,"-","-"
"6784014",2016,20160418,3404,20160408,1648,"927","1","5","5","7","3404","0","0","0","","0","00C","GARDEN HWY","TRUXEL RD","1056.00","E","N","A","-","N","",,,"","",,"","","","Y","3",0,1,2,"A","-","03",22350,"","M","C","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,1,0,0,0,0,0,0,0,"-","-"
"6784018",2016,20170224,3404,20160411,1203,"0943","","1","5","7","3404","0","0","0","","0","","65TH ST","RT 50","0.00","","Y","A","-","Y","SAC",3,50,"-","R",2.822,"R","4","W","Y","4",0,2,2,"A","-","12",21453,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","07",0,0,2,0,0,0,0,0,0,"-","WF"
"6784022",2016,20160418,3404,20160411,1606,"0839","1","1","5","7","3404","0","0","0","","0","01A","TRUXEL RD","GATEWAY PARK BL","0.00","","Y","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","A","0","Y","","","","Y","","A","01",0,0,1,0,1,0,0,0,0,"-","-"
"6784026",2016,20160418,3404,20160412,2202,"792","","2","5","7","3404","0","0","0","","0","","SEAWIND DR","GRACE AV","102.00","N","N","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","03",22350,"","M","H","J","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"7142610",2016,20160111,3404,20160103,1431,"8207","2","7","5","7","3404","0","0","0","","0","00C","ARDEN WY","BOXWOOD ST","40.00","W","N","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","01",23152,"A","N","C","A","A","A","H","-","A","D","0","","","","","Y","","A","07",0,0,0,0,0,0,0,0,0,"-","-"
"7142631",2016,20160111,3404,20160101,1428,"0788","1","5","5","7","3404","0","0","0","","0","00B","STONECREEK DR","WEST EL CAMINO AV","510.00","N","N","A","-","N","",,,"","",,"","","","Y","3",0,1,3,"A","-","01",23152,"A","N","E","E","A","A","H","-","A","D","0","","","","","Y","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-"
"7148632",2016,20160229,3404,20160111,2216,"649","","1","5","7","3404","0","0","0","","0","06D","J ST","48TH ST","0.00","","Y","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","09",21801,"A","N","-","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-"
