CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP
"8167041",2018,20180308,3711,20180101,0313,"6372","","1","5","7","3711","0","0","0","","0","116","CLAIREMONT DR","BURGENER BL","207.00","E","N","B","-","N","",,,"","",,"","","","Y","1",1,0,3,"A","-","08",22107,"","F","B","E","A","A","H","-","C","D","0","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"-","-"
"8167042",2018,20180308,3711,20180101,0126,"6000","","1","5","7","3711","0","0","0","","0","722","PALM AV","18TH ST","115.00","E","N","B","E","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","B","E","B","H","-","C","D","0","Y","","","","Y","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-"
"8167053",2018,20200521,3711,20180115,1736,"4243","","1","5","7","3711","0","0","0","","0","838","EL CAJON BL","36TH ST","0.00","","Y","B","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","C","D","0","Y","","","","Y","","D","22",0,0,0,1,0,0,0,0,0,"-","-"
"8167067",2018,20200522,3711,20180123,1816,"5051","","2","5","7","3711","0","0","0","","0","315","FRIARS RD","RIO BONITO WY","38.00","W","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","-","D","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-"
"8167074",2018,20200526,3711,20180124,1357,"5600","","3","5","7","3711","0","0","0","","0","614","WEST POINT LOMA BL","LOTUS ST","99.00","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,3,"A","-","03",22350,"","N","A","C","A","-","H","-","A","D","0","","","Y","","Y","Y","C","02",0,0,0,0,0,0,0,1,0,"-","-"
"8167570",2018,20180612,3711,20180106,2025,"6146","","6","5","7","3711","0","0","0","","0","813","UNIVERSITY AV","3900 BANCROFT ST","53.70","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21954,"B","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-"
"8404752",2018,20180615,3711,20180330,0709,"6252","","5","5","7","3711","0","0","0","","0","242","CALLE CRISTOBAL","LOPEZ RIDGE PARK","21.00","W","N","E","-","N","",,,"","",,"","","","Y","1",1,2,2,"A","-","12",21453,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",1,0,1,0,0,0,0,0,0,"-","-"
"8404796",2018,20180614,3711,20180202,2021,"6372","","5","5","7","3711","0","0","0","","0","931","MIRAMAR RD","RT 805","217.00","W","N","A","-","Y","SD",11,805,"-","-",26.107,"R","4","N","Y","1",1,5,3,"A","-","08",22107,"","N","A","C","A","A","H","-","C","A","0","","","","","Y","","A","01",1,4,0,0,0,0,0,0,0,"-","EF"
"8404798",2018,20200522,3711,20180427,2300,"6553","","5","5","7","3711","0","0","0","","0","627","NORMAL ST","HARVEY MILK ST","181.00","N","N","B","-","N","",,,"","",,"","","","N","1",1,0,4,"A","-","08",22107,"","F","C","E","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-"
"8404803",2018,20190703,3711,20180223,1729,"6034","","5","5","7","3711","0","0","0","","0","713","LA MEDIA RD","RT 905","38.00","S","N","A","-","Y","SD",11,905,"-","R",9.508,"R","4","E","Y","1",1,0,3,"A","-","08",22107,"","N","G","J","E","A","H","-","A","A","0","Y","","Y","Y","Y","","F","25",0,0,0,1,0,0,0,0,0,"-","-"
