CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP
"6292184",2015,20150521,3801,20150312,0939,"1939","TARAV","4","5","7","3801","0","0","0","","0","4K6C","LINCOLN WY","15TH AV","75.00","E","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","03",22350,"","N","C","C","A","A","H","-","A","D","0","","","Y","","Y","","C","02",0,0,0,0,0,0,0,1,0,"-","-"
"6292194",2015,20170404,3801,20150110,1702,"845","NORTH","6","5","7","3801","0","0","0","","0","4K4A","MCALLISTER ST","VAN NESS AV","0.00","","Y","A","-","Y","SF",4,101,"-","T",5.198,"I","5","N","Y","1",1,2,3,"A","-","12",21453,"A","N","D","C","B","A","H","-","B","A","0","Y","","Y","","Y","Y","C","02",0,0,2,0,1,0,0,1,0,"-","-"
"6292204",2015,20150602,3801,20150302,1234,"1324","MISSI","1","5","7","3801","0","0","0","","0","4C4","14TH ST","FOLSOM ST","0.00","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","12",21453,"A","N","H","G","A","A","H","-","A","A","0","","Y","","","Y","","-","- ",0,0,0,0,0,1,0,0,0,"-","-"
"6292207",2015,20150602,3801,20150311,1047,"251","RICHM","3","5","7","3801","0","0","0","","0","3G61","GEARY BL","26TH AV","0.00","","Y","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","D","0","Y","","","","Y","","D","22",0,0,0,1,0,0,0,0,0,"-","-"
"6292445",2015,20150803,3801,20150701,2110,"256","SOUTH","3","5","7","3801","0","0","0","","0","4B7H","3RD ST","MARKET ST","21.00","S","N","A","-","N","",,,"","",,"","","","Y","1",1,2,3,"A","-","01",23152,"A","N","G","B","F","A","H","-","C","A","0","Y","","Y","","Y","","C","02",1,1,0,1,1,0,0,0,1,"-","-"
"6292449",2015,20150803,3801,20150717,2125,"000395","MISSI","5","5","7","3801","0","0","0","","0","4B7D","SOUTH VAN NESS","16TH ST","124.00","S","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21955,"","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-"
"6292450",2015,20150803,3801,20150720,1319,"1714","COG","1","5","7","3801","0","0","0","","0","4B2A","33RD AV","CABRILLO ST","15.00","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","D","0","Y","","","","Y","Y","-","",0,0,0,1,0,0,0,0,0,"-","-"
"6292674",2015,20170320,3801,20150904,1627,"256","CENTR","5","5","7","3801","0","0","0","","0","4B7H","POLK ST","BAY ST","0.00","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","12",21453,"A","N","D","C","A","A","H","-","A","A","0","","","Y","","Y","","C","02",0,0,0,0,0,0,0,1,0,"-","-"
"6551754",2015,20151010,3801,20150901,1604,"439","CENTR","2","5","7","3801","0","0","0","","0","3A12D","PINE ST","STOCKTON ST","0.00","","Y","A","-","N","",,,"","",,"","","","N","3",0,1,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","A","0","Y","","","","Y","","A","01",0,1,0,0,1,0,0,0,0,"-","-"
"6688387",2015,20150827,3801,20150521,2357,"837","TARAV","4","5","7","3801","0","0","0","","0","3I11E","LAKE MERCED BL","STATE DR","37.00","W","N","B","-","N","",,,"","",,"","","","Y","4",0,1,2,"A","-","09",21806,"A","N","D","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-"
"6688390",2015,20150908,3801,20150717,1711,"2432","PARK","5","5","7","3801","0","0","0","","0","3F2D","CLARENDON AV","GALEWOOD CIR","24.00","S","N","B","-","N","",,,"","",,"","","","N","4",0,1,3,"A","-","01",23152,"E","N","C","E","A","A","H","-","A","D","0","","","","","Y","","A","07",0,0,1,0,0,0,0,0,0,"-","-"
"6688391",2015,20150908,3801,20150724,1742,"2432","PARK","5","5","7","3801","0","0","0","","0","3F14D","SAN CHEZ DR","HENRY","63.00","S","N","A","-","N","",,,"","",,"","","","N","4",0,1,6,"A","-","07",21658,"A","N","B","C","A","A","H","-","A","D","0","","","","","Y","","J","43",0,0,1,0,0,0,0,0,0,"-","-"
"6810321",2015,20150811,3801,20150108,2500,"256","PARNA","4","5","7","3801","0","0","0","","0","","BEHR AV","BEHR AV 95","0.00","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,3,"A","-","- ",,"","M","-","-","A","A","-","-","A","-","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-"
"6814505",2015,20150319,3801,20150227,1325,"","","5","5","7","3801","0","0","0","","0","","CALIFORNIA ST","GOUGH ST","0.00","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","12",21453,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-"
"6814698",2015,20150406,3801,20150302,1425,"","","1","5","7","3801","0","0","0","","0","","7TH ST","MARKET ST","0.00","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","N","B","C","A","A","H","-","A","A","0","","","","","Y","","A","08",0,0,0,0,0,0,0,0,0,"-","-"
"6824126",2015,20150304,3801,20150110,2057,"2065","3","6","5","7","3801","0","0","0","","0","002","SANTA CRUZ","GUADALUPE","0.00","","Y","A","-","N","",,,"","",,"","","","N","3",0,3,5,"A","-","03",22350,"","M","B","C","A","A","H","-","C","D","0","","","Y","","Y","","C","02",0,1,2,0,0,0,0,0,1,"-","-"
"6844369",2015,20160907,3801,20150218,1530,"910","","3","5","7","3801","0","0","0","","0","","19TH AV","HOLLOWAY AV","0.00","","Y","A","-","Y","SF",4,1,"-","-",0.940,"I","5","S","N","4",0,1,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","A","0","Y","","","","Y","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-"
"6846754",2015,20150825,3801,20150209,1730,"228","MISSI","1","5","7","3801","0","0","0","","0","","MASONIC AV","GROVE ST","0.00","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"D","-","00",,"","N","B","C","A","A","H","-","A","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-"
"6846946",2015,20160512,3801,20150212,1646,"259","PARNA","4","5","7","3801","0","0","0","","0","","PARNASSUS AV","PARNASSUS AV 530","0.00","","-","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","21",22106,"","N","-","-","A","A","-","-","A","-","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-"
"6854743",2015,20160602,3801,20150606,2102,"578","","6","5","7","3801","0","0","0","","0","51B","PERSIA AV","SUNNYDALE AV","528.00","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","01",21200,"5","N","D","G","A","A","H","-","D","D","0","","Y","","","Y","","L","04",0,0,0,0,0,1,0,0,0,"-","-"
"6854749",2015,20150924,3801,20150610,1456,"256","INGLE","3","5","7","3801","0","0","0","","0","4B7H","MISSION ST","PERSIA ST","50.00","S","N","B","C","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","B","H","-","A","A","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-"
"6854750",2015,20150716,3801,20150612,1225,"1967","INGLE","5","5","7","3801","0","0","0","","0","3H12C","MISSION ST","OLIVER ST","0.00","","Y","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","10",21950,"A","N","B","B","B","A","H","-","A","A","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-"
"6854760",2015,20150716,3801,20150617,1800,"1994","CENTR","3","5","7","3801","0","0","0","","0","4B4B","KEARRY ST","CLAY ST","8.00","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","A","B","B","A","H","-","A","A","0","Y","","","","Y","","D","22",0,0,0,1,0,0,0,0,0,"-","-"
"6854774",2015,20170329,3801,20150628,0352,"796","NORTH","7","5","7","3801","0","0","0","","0","3E62","VAN NESS AV","HAYES ST","0.00","","Y","A","-","Y","SF",4,101,"-","T",5.010,"I","5","S","Y","1",1,0,2,"A","-","09",21801,"A","N","D","C","A","A","H","-","C","A","0","","","Y","","Y","","A","01",0,0,0,0,0,0,0,1,0,"-","-"
"6854786",2015,20150723,3801,20150709,1443,"1483","TARAV","4","5","7","3801","0","0","0","","0","313B","44TH AV","RIVERA ST","180.00","N","N","B","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","08",22107,"","N","A","E","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-"
"6866867",2015,20150901,3801,20150211,1600,"211","","3","5","7","3801","0","0","0","","0","","FOLSOM ST","MAIN ST","0.00","","Y","A","-","N","",,,"","",,"","","","Y","2",0,1,2,"A","-","05",21650,"","N","G","B","E","A","H","-","A","D","0","Y","","","","Y","","A","01",1,0,0,0,1,0,0,0,0,"-","-"
"6866934",2015,20160801,3801,20150724,2314,"2032","","5","5","7","3801","0","0","0","","0","001","ROLPH ST","SOUTH HILL BL","1454.00","E","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","13",22515,"A","N","H","E","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-"
"6889849",2015,20160502,3801,20150319,0605,"221","","4","5","7","3801","0","0","0","","0","","16TH ST","MISSION","0.00","","Y","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","12",21453,"A","N","D","C","A","A","H","-","C","A","0","","","","","Y","","I","11",0,0,1,0,0,0,0,0,0,"-","-"
"6896045",2015,20151008,3801,20150421,1650,"1253","5","2","5","7","3801","0","0","0","","0","003","ST CHARLES AV","ALEMANY BL","289.00","S","N","B","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","17",22517,"","N","B","C","A","A","H","-","A","D","0","","","","","Y","","J","48",0,0,0,0,0,0,0,0,0,"-","-"
"6897146",2015,20160707,3801,20150430,1350,"","","4","5","7","3801","0","0","0","","0","","CESAR CHAVEZ ST","EVANS AV","166.00","W","N","A","-","N","",,,"","",,"","","","N","0",0,0,3,"A","-","07",21658,"A","M","C","C","A","A","H","-","A","D","0","","","","Y","Y","","D","22",0,0,0,0,0,0,0,0,0,"-","-"
"6905448",2015,20150715,3801,20150616,0940,"","","2","5","7","3801","0","0","0","","0","","SUNSET BL","SANTIAGO ST","0.00","","Y","B","-","N","",,,"","",,"","","","N","3",0,2,2,"A","-","04",21703,"","N","C","C","A","A","H","-","A","A","0","","","","","Y","","J","49",0,1,1,0,0,0,0,0,0,"-","-"
"6905616",2015,20150515,3801,20150418,2228,"1939","","6","5","7","3801","0","0","0","","0","4B8F","PINE ST","LARKIN ST","63.00","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-"
"6905622",2015,20150515,3801,20150410,2200,"1939","CENTR","5","5","7","3801","0","0","0","","0","4B8F","CALIFORNIA AV","KEARRY ST","9.00","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","12",21453,"A","F","G","B","B","A","H","-","C","A","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-"
"6905636",2015,20150515,3801,20150420,0620,"001714","","1","5","7","3801","0","0","0","","0","4B2A","41ST AV","PACHECO ST","5.00","N","N","B","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","B","D","0","Y","","","","Y","","A","08",0,0,0,1,0,0,0,0,0,"-","-"
"6917675",2015,20151005,3801,20150422,2135,"NECHUTA","PARNA","3","5","7","3801","0","0","0","","0","","PARNASSUS AV","3RD AV","0.00","","Y","B","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","N","D","C","A","A","E","H","C","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-"
